tenure_category,charges_category,total_customers,churn_count,churn_rate
中期(12-23ヶ月),中(35$-69$),275,63,22.91
中期(12-23ヶ月),低(0$-34$),286,17,5.94
中期(12-23ヶ月),高(70$以上),486,229,47.12
短期(0-11ヶ月),中(35$-69$),639,278,43.51
短期(0-11ヶ月),低(0$-34$),599,149,24.87
短期(0-11ヶ月),高(70$以上),831,572,68.83
長期(24ヶ月以上),中(35$-69$),807,66,8.18
長期(24ヶ月以上),低(0$-34$),846,22,2.6
長期(24ヶ月以上),高(70$以上),2274,473,20.8
